Entity,Day,Training dataset size,Domain
Fast R-CNN,2015-04-30,25600000,Vision
Faster R-CNN,2015-06-04,102400000,Vision
Feedback Transformer,2020-02-21,103000000,Language
Feedforward NN,2010-05-13,90000,Vision
Ferret (13B),2023-10-11,172649572,Multiple domains
FinGPT-13B,2023-10-07,76800,Language
Fine-tuned-AWD-LSTM-DOC (fin),2018-11-12,1044112,Language
FixRes ResNeXt-101 WSL,2019-06-14,940000000,Vision
Flamingo,2022-04-29,458333333333,Multiple domains
Flan-PaLM 540B,2022-10-20,1400000000,Language
Florence,2021-11-22,7500000000,Vision
Fold2Seq,2021-06-24,45995,Biology
Fractional Max-Pooling,2014-12-18,901200,Vision
Fragment embedding,2014-06-21,15000000,Vision
Fraternal dropout + AWD-LSTM 3-layer (WT2),2017-10-31,2000000,Language
Fusion in Encoder,2022-11-18,960000,Language
GANs,2014-06-10,120000,Image generation
GAWWN,2016-10-08,235760,Vision
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),2017-08-29,2000000,Language
GLEE,1968-07-01,6000,Games
GLM-130B,2022-08-04,152000000000,Language
GLM-4 (0520),2024-05-20,10000000000000,Language
GLM-4.5,2025-08-05,23100000000000,Language
GLM-4.6,2025-09-30,23000000000000,Language
GLaM,2021-12-13,600000000000,Language
GNMT,2016-09-26,720000000,Language
GNN,2008-12-09,207,Other
GNoME for crystal discovery,2023-11-29,69000,Other
GOAT,2021-07-27,798720000000000,Games
GPT-1,2018-06-01,1333333333,Language
GPT-2 (1.5B),2019-02-14,10666666666,Language
GPT-2 Medium (FlashAttention),2022-05-27,10130000000,Language
GPT-3 175B (davinci),2020-05-28,238000000000,Language
GPT-4 (Jun 2023),2023-03-15,5416666666666,Multiple domains
GPT-4 (Mar 2023),2023-03-15,5416666666666,Multiple domains
GPT-NeoX-20B,2022-02-09,341173367965,Language
GPU DBNs,2009-06-15,121344000000,Other
GPipe (Transformer),2018-11-16,1450000000000,Language
GSM,2017-07-30,215570,Language
GShard (dense),2020-06-30,346666666667,Language
Galactica,2022-11-16,106000000000,Multiple domains
Gated HORNN (3rd order),2016-04-30,22400000,Language
Gato,2022-05-12,524288000000,Multiple domains
GenSLM,2022-10-11,225280000000,Biology
Generative BST,2021-03-05,56800000000,Language
German ELECTRA Large,2020-10-21,36383733333,Language
GloVe (32B),2014-01-01,315209597,Language
GloVe (6B),2014-01-01,66453980,Language
Go-explore,2020-04-27,40000000000,Games
Goat-7B,2023-05-23,43700000,Language
Golem,1992-10-01,1612,Biology
GoogLeNet / InceptionV1,2014-09-17,571392000000,Vision
Gopher (280B),2021-12-08,300000000000,Language
Gradient Boosting Machine,2001-10-01,5000,Other
Greedy layer-wise DNN training,2006-12-04,107100000,Other
Grok-1,2023-11-04,6200000000000,Language
HLBL,2008-12-08,14000000,Language
HR-ResNet101,2016-12-13,8243968,Vision
HRA,2017-06-13,150000000,Games
Hanabi 4 player,2019-02-01,20000000000,Games
Handwritten digit recognition network,1989-11-27,9840,Vision
Hierarchical Cognitron,1984-04-01,5,Other
Hierarchical LM,2005-01-06,900000,Language
Hierarchical Scene Labeling (Stanford Background),2013-08-01,71380800,Vision
High Performance CNN (NORB),2011-07-16,50000,Vision
Histograms of Oriented Gradients,2005-06-25,14658,Vision
HuBERT,2021-07-27,864000000,Speech
Hunyuan-Large,2024-11-06,7000000000000,Language
Hunyuan-TurboS,2025-03-11,16000000000000,Language
Hybrid H3-2.7B,2022-12-28,400000000000,Language
HyenaDNA,2023-06-27,2945000000,Biology
HyperCLOVA 204B,2021-09-10,560000000000,Language
HyperNEAT,2014-03-05,750000000,Games
IBM Model 4,1999-07-02,800000,Language
IBM-5,1993-06-15,28850104,Language
IMPALA,2018-02-05,11400000000,Games
ISR network,1990-10-01,600000,Vision
ISS,2017-09-15,929000,Language
Image generation,2013-12-20,47040000,Vision
Image-to-image cGAN,2016-11-21,2400000,Multiple domains
Inception v3,2015-12-02,1200000,Vision
Inception-ResNet-V2,2016-02-23,1280000,Vision
Inceptionv4,2016-02-23,1280000,Vision
Incoder-6.7B,2023-04-09,52000000000,Language
Inflated 3D ConvNet,2017-06-01,240000,Other
InstructGPT 175B,2022-01-27,16969897,Language
InternImage,2022-11-10,83692000000,Vision
InternLM,2023-07-06,1600000000000,Language
Invariant CNN,2004-06-27,24300,Vision
JFT,2017-07-10,5487300000000,Vision
JPMAX,1994-12-02,1500,Vision
Jais,2023-08-29,395000000000,Language
Jurassic-1-Jumbo,2021-08-11,300000000000,Language
K-EXAONE,2025-12-31,11000000000000,Language
KEPLER,2020-11-23,3533640000,Language
