Entity,Day,Number of parameters
Fractional Max-Pooling,2014-12-18,27000000
Fragment embedding,2014-06-21,144496000
Fraternal dropout + AWD-LSTM 3-layer (WT2),2017-10-31,34000000
Fugatto 1,2024-11-25,2500000000
FunSearch,2023-12-14,15000000000
Fusion in Encoder,2022-11-18,330000000
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),2017-08-29,38000000
GLM-130B,2022-08-04,130000000000
GLM-4.5,2025-08-05,355000000000
GLM-4.6,2025-09-30,357000000000
GLM-4.7,2025-12-22,358000000000
GLM-5,2026-02-17,744000000000
GLM-5.1,2026-04-07,754000000000
GLaM,2021-12-13,1200000000000
GNMT,2016-09-26,278000000
GNN,2008-12-09,30
GNoME for crystal discovery,2023-11-29,16240000
GOAT,2021-07-27,3472816
GPT-1,2018-06-01,117000000
GPT-2 (1.5B),2019-02-14,1500000000
GPT-2 Medium (FlashAttention),2022-05-27,355000000
GPT-3 175B (davinci),2020-05-28,174600000000
GPT-3.5 Turbo,2023-06-13,20000000000
GPT-3.5 Turbo Instruct,2023-09-28,20000000000
GPT-4 (Jun 2023),2023-03-15,1800000000000
GPT-4 (Mar 2023),2023-03-15,1800000000000
GPT-NeoX-20B,2022-02-09,20000000000
GPT3-2.7B (FlashAttention-2),2023-07-18,2700000000
GPU DBNs,2009-06-15,100000000
GPipe (Transformer),2018-11-16,6000000000
GQA-8-XXL,2023-12-23,11000000000
GR-2,2024-10-08,230000000
GShard (dense),2020-06-30,2300000000
Galactica,2022-11-16,120000000000
Gated HORNN (3rd order),2016-04-30,8970000
Gato,2022-05-12,1180000000
Gemini Nano-1,2023-12-19,1800000000
Gemini Nano-2,2023-12-19,3250000000
GenSLM,2022-10-11,25000000000
Generative BST,2021-03-05,9431810048
German ELECTRA Large,2020-10-21,335000000
GloVe (32B),2014-01-01,120000000
GloVe (6B),2014-01-01,120000000
Goat-7B,2023-05-23,7000000000
GoogLeNet / InceptionV1,2014-09-17,6797700
Gopher (280B),2021-12-08,280000000000
Grok 3,2025-02-17,3000000000000
Grok 4,2025-07-09,3000000000000
Grok 4.20,2026-02-17,500000000000
Grok-1,2023-11-04,314000000000
HLBL,2008-12-08,1846400
HR-ResNet101,2016-12-13,44500000
Hanabi 4 player,2019-02-01,764000
Handwritten digit recognition network,1989-11-27,2578
Hierarchical Cognitron,1984-04-01,9315
Hierarchical Reasoning Model (HPM),2025-08-04,27000000
Hierarchical Scene Labeling (Stanford Background),2013-08-01,51609600
High Performance CNN (NORB),2011-07-16,4878300
Hopfield network,1982-04-01,9900
HuBERT,2021-07-27,1000000000
Hunyuan-Large,2024-11-06,389000000000
Hunyuan-TurboS,2025-03-11,560000000000
Hybrid H3-2.7B,2022-12-28,2700000000
HyenaDNA,2023-06-27,6600000
HyperCLOVA 204B,2021-09-10,204000000000
HyperCLOVA X SEED 32B Think,2025-12-29,32000000000
HyperNEAT,2014-03-05,239712
IBM-5,1993-06-15,1658364
IMPALA,2018-02-05,1600000
INTELLECT-MATH,2025-01-17,7000000000
ISS,2017-09-15,11100000
Image generation,2013-12-20,784000
ImageBind,2023-05-09,932000000
Imagen,2022-05-23,7762000000
Inception v3,2015-12-02,23626728
Inception-ResNet-V2,2016-02-23,56000000
Inceptionv4,2016-02-23,43000000
Incoder-6.7B,2023-04-09,6700000000
Infinity,2024-12-05,2000000000
InstructBLIP,2023-05-11,13000000000
InstructGPT 1.3B,2022-01-27,1300000000
InstructGPT 175B,2022-01-27,175000000000
InstructGPT 6B,2022-01-27,6000000000
InternImage,2022-11-10,1080000000
InternLM,2023-07-06,104000000000
Invariant CNN,2004-06-27,90575
JFT,2017-07-10,44654504
JPMAX,1994-12-02,4446
Jais,2023-08-29,13000000000
Jamba 1.5-Large,2024-08-22,398000000000
Jurassic-1-Jumbo,2021-08-11,178000000000
K-EXAONE,2025-12-31,236000000000
KEPLER,2020-11-23,125000000
KN-LM,2007-06-22,21000000000
KataGo,2019-02-27,2500000
Kimi K2,2025-07-11,1000000000000
Kimi K2 Thinking,2025-11-06,1000000000000
Kimi K2.5,2026-02-02,1040000000000
Kimi K2.6,2026-04-20,1040000000000
Kohonen network,1981-07-25,4096
LCNP LabelMe,2009-11-22,13729792
LCNP MNIST,2009-11-22,11616256
LCNP NORB,2009-11-22,16818176
LDM-1.45B,2021-12-20,1450000000
LEP-AD,2023-03-15,3007381000
LF-MMI,2016-09-08,16600000
LISSOM,1995-11-27,432800
LLaMA-65B,2023-02-24,65200000000
LLaVA,2023-04-17,13000000000
LLaVA 1.5,2023-11-05,13000000000
LLaVA-OV-72B,2024-08-06,72000000000
LMICA,2004-12-01,4096000
LMSI-Palm,2022-10-20,540000000000
LRCN,2014-11-07,142552000
LRR-4X,2016-05-08,138000000
LSTM,1997-11-15,10504
LSTM + dynamic eval,2017-09-21,50000000
LSTM LM,2012-09-09,102720000
LSTM with forget gates,1999-01-02,276
LSTM+NeuralCache,2018-09-24,2100000
LTE speaker verification system,1966-11-01,2061
LUKE,2020-10-02,483000000
LaMDA,2022-02-10,137000000000
LaNet-L (CIFAR-10),2019-06-17,44100000
LeNet-5,1998-11-01,60000
Ling-1T,2025-10-10,1000000000000
Llama 2-70B,2023-07-18,70000000000
Llama 2-7B,2023-07-18,7000000000
Llama 3-70B,2024-04-18,70000000000
Llama 3.1-405B,2024-07-23,405000000000
Llama 3.2 11B,2024-09-24,10600000000
Llama 3.3 70B,2024-12-06,70000000000
Llama 4 Behemoth (preview),2025-04-05,2000000000000
Llama 4 Maverick,2025-04-05,400000000000
Llama 4 Scout,2025-04-05,109000000000
Llama Guard,2023-12-07,7000000000
LongCat-Flash,2025-09-01,560000000000
LongT5,2021-12-15,3000000000
M4-50B,2019-10-11,50000000000
M6-T,2021-03-05,1002700000000
MEB,2021-09-04,135000000000
MLN-ASR,1988-08-01,10000
MLP with back-propagation,1986-10-01,720
MM1-30B,2024-03-14,30000000000
MMLSTM (PTB),2019-12-05,21300000
MMLSTM (WT-2),2019-12-05,32300000
MS-ensemble-speech-recognition,2016-09-12,3172117056
MSA Transformer,2021-02-13,100000000
"MSRA (C, PReLU)",2015-02-06,87048800
MT-DNN,2019-01-31,330000000
MUSIC perceptron,1996-06-03,13607
