Entity,Day,Training computation (petaFLOP)
GoogLeNet / InceptionV1,2014-09-17,1510
Gopher (280B),2021-12-08,631000000
GraphCast,2023-11-14,21000000
Grok 3,2025-02-17,350000000000
Grok 4,2025-07-09,500000000000
Grok-1,2023-11-04,2900000000
Grok-2,2024-08-13,29600002000
HR-ResNet101,2016-12-13,7077
Hanabi 4 player,2019-02-01,4300
Handwritten digit recognition network,1989-11-27,0.00018144
Heuristic Reinforcement Learning,1965-10-01,1.08e-9
Hierarchical LM,2005-01-06,0.115848005
Hierarchical Scene Labeling (Stanford Background),2013-08-01,237.74689
High Performance CNN (NORB),2011-07-16,25.7985
HuBERT,2021-07-27,5540000
Hunyuan-Large,2024-11-06,3492370000
Hunyuan-TurboS,2025-03-11,5400000000
Hybrid H3-2.7B,2022-12-28,6480000
HyenaDNA,2023-06-27,1811000
HyperCLOVA 204B,2021-09-10,200000000
IMPALA,2018-02-05,168000
ISS,2017-09-15,3.4
Image generation,2013-12-20,0.47520003
Imagen,2022-05-23,14600000
Inception v3,2015-12-02,100000
Incoder-6.7B,2023-04-09,3000010.2
Inflection-2,2023-11-22,10010000000
Inflection-2.5,2024-03-07,8000001500
InstructBLIP,2023-05-11,194000
InstructGPT 175B,2022-01-27,319181000
InternImage,2022-11-10,2408000.2
InternLM,2023-07-06,998400000
Invariant CNN,2004-06-27,0.00097423
Invariant image recognition,1989-06-18,0.000027
JFT,2017-07-10,843000.06
JPMAX,1994-12-02,8.082828e-8
Jais,2023-08-29,48946764
Jurassic-1-Jumbo,2021-08-11,370000000
K-EXAONE,2025-12-31,1520000000
KEPLER,2020-11-23,1660000
KN-LM,2007-06-22,773.03815
KataGo,2019-02-27,23200.002
Kimi K2,2025-07-11,2976000000
Kimi K2 Thinking,2025-11-06,4200000000
Kimi K2.5,2026-02-02,5800000000
LCNP LabelMe,2009-11-22,3.2951503
LCNP MNIST,2009-11-22,4.1818523
LCNP NORB,2009-11-22,2.45209
LISSOM,1995-11-27,0.0001955448
LLaMA-65B,2023-02-24,550000000
