Entity,Day,Training dataset size
LongT5,2021-12-15,524288000000
M6-T,2021-03-05,111800000000
MADALINE I,1962-07-01,256
MEB,2021-09-04,500000000000
MLN-ASR,1988-08-01,12600
MLP baggage detector,1989-01-01,20000
MLP with back-propagation,1986-10-01,104
MMLSTM (PTB),2019-12-05,929000
MMLSTM (WT-2),2019-12-05,2000000
MS-ensemble-speech-recognition,2016-09-12,11140000000
MSA Transformer,2021-02-13,1395000000000
"MSRA (C, PReLU)",2015-02-06,1280000
MT-DNN,2019-01-31,1000000
MUSIC perceptron,1996-06-03,81000
Make-A-Scene,2022-03-24,267386880000
Mamba-24M (SC09),2023-12-01,96672
Mask R-CNN,2017-03-30,46161920000
MatrixFac for Recommenders,2009-08-07,100480504
Med-PaLM 2,2023-05-16,16020450
MedBERT,2021-05-20,14587213000
Meena,2020-01-28,53333330000
Megatron-BERT,2019-09-17,6960000000
Megatron-LM (1.2B),2019-09-17,157000000000
Megatron-LM (8.3B),2019-09-17,46400000000
Megatron-Turing NLG 530B,2021-10-11,270000000000
MemoReader,2018-10-31,1057958
Mesh-TensorFlow Transformer 2.9B (translation),2018-11-05,1550000000
Mesh-TensorFlow Transformer 4.9B (language),2018-11-05,5000000000
MetNet,2020-03-24,7045120000
Meta Pseudo Labels,2021-03-01,131280000
MetaLM,2022-06-13,646707200000
MiMo-V2.5-Pro,2026-04-27,27000000000000
Minerva (540B),2022-06-29,26000000000
Mixture of linear models,1994-12-02,1792000
Mnemonic Reader,2017-05-08,215570
MoCo,2019-11-13,940000000
MoE-Multi,2017-01-23,87000000000
MobileNet,2017-04-17,1280000
MobileNetV2,2018-06-18,1280000
"Mogrifier (d2, MoS2, MC) + dynamic eval",2019-09-04,2000000
Mogrifier RLSTM (WT2),2022-11-03,2666667
Movie Gen Video,2024-10-04,3400000000
MuZero,2019-11-19,12288000000
Multi-cell LSTM,2018-11-15,929000
Multilingual DNN,2013-05-26,3103200000
Multiresolution CNN,2014-06-23,50000000
MusicGen,2023-06-08,14284800000000
NAS with base 8 and shared embeddings,2016-11-05,929000
NASNet-A,2017-07-21,1280000
NASv3 (CIFAR-10),2016-11-05,45000
NETtalk reimplementation,1990-06-01,7242
NLLB,2022-07-06,300000000000
NLP from scratch,2011-11-08,852000000
NPD,2014-08-06,434600
NPLM (AP News),2003-03-15,13994528
NPLM (Brown),2003-03-15,13994528
NVLM-D 72B,2024-10-22,57016320000
NVLM-H 72B,2024-10-22,125829120000
NVLM-X 72B,2024-10-22,45875200000
Named Entity Recognition model,2016-03-04,204567
Nemotron-3-8B,2023-11-15,3800000000000
Nemotron-4 340B,2024-06-14,9000000000000
Neocognitron,1980-04-01,5
NetTalk (dictionary),1987-06-06,5000
NetTalk (transcription),1987-06-06,5120
Network in Network,2013-12-16,630420
NeuMF (Pinterest),2017-08-16,1500809
Neural LM,2000-11-28,32000000
Neuro-Symbolic Concept Learner,2019-04-26,100000
NeuroChess,1994-12-02,9600000
Noisy Student (L2),2019-11-11,81000000
NoisyNet-Dueling,2017-06-30,320000000
Nucleotide Transformer,2023-01-15,300000000000
NÜWA,2021-11-24,5547780000
ONE-PEACE,2023-05-18,490617000000
OPT-175B,2022-05-02,180000000000
OR-WideResNet,2017-01-07,50000
Olmo 3,2025-11-20,5500000000000
OmegaPLM,2022-07-22,1258291200000
Once for All,2020-04-29,1280000
OntoProtein,2022-01-23,2868521000
OpenAI Five,2019-12-13,454164480000
OpenAI Five Rerun,2019-12-13,53084160000
PLATO-XL,2021-09-20,150000000000
PLUG,2021-04-19,60000000000
PaLI,2022-09-14,143507000000
PaLM (540B),2022-04-04,780000000000
PaLM 2,2023-05-10,3600000000000
PanGu-Σ,2023-03-20,329000000000
Pangu Ultra,2025-04-10,13200000000000
Pangu-Weather,2023-07-05,24457821000000
Paragraph Vector,2014-05-14,16500000
Parti,2022-06-22,4718592000000
Pattern recognition and reading by machine,1959-12-01,180
PeptideBERT,2023-08-28,4160566
Perceiver IO (optical flow),2020-02-08,146022400000
Perceptron (1960),1960-03-30,100
Perceptron Mark I,1957-01-01,100
PermuteFormer,2021-09-06,103000000
Photo-Geometric Autoencoder,2019-11-25,819200000
PhraseCond,2017-10-28,160000
Piecewise linear model,1973-11-01,314
PixelCNN,2016-06-16,15728640000
PixelDance,2024-09-24,114229250000000
PoE MNIST,2000-11-28,54000
PointNet,2016-12-02,9843
PointNet++,2017-06-07,60000
Pointer Sentinel-LSTM (medium),2016-09-26,929000
PolyCoder,2022-02-26,39300000000
PolyNet,2016-11-17,1280000
Pooling CNN (Caltech 101),2010-09-15,3060
Pooling CNN (NORB),2010-09-15,24300
Predictive Coding NN,1994-12-02,600000
ProBERTa,2020-09-01,58320000
ProGen2-xlarge,2022-06-27,350000000000
Projected GAN,2021-11-01,3000000
ProtBERT-BFD,2021-05-04,58950000000
ProtT5-XL-U50,2021-05-04,19582372000
ProteinBERT,2022-02-10,37598200000
ProteinDT,2023-02-09,132303900
Prototypical networks,2017-03-15,38400
PyramidNet,2017-09-06,1280000
Q-learning,1989-01-01,200000
QRNN,2018-02-01,103000000
Qwen-72B,2023-11-30,3000000000000
Qwen-VL,2023-08-24,500000000000
Qwen1.5-72B,2024-02-04,3000000000000
Qwen2-72B,2024-06-07,7000000000000
Qwen2.5-32B,2024-09-17,18000000000000
Qwen2.5-72B,2024-09-19,18000000000000
Qwen3-235B-A22B,2025-04-29,36000000000000
Qwen3-235B-A22B (Jul 2025),2025-07-25,36000000000000
Qwen3-235B-A22B-Thinking (Jul 2025),2025-07-25,36000000000000
Qwen3-Coder-480B-A35B,2025-07-22,7500000000000
Qwen3-Max,2025-09-05,36000000000000
Qwen3-Omni-30B-A3B,2025-09-22,2000000000000
R-FCN,2016-06-21,10624000
RAAM,1990-11-01,29
RBM Image Classifier,2009-04-08,6144050000
RCTM,2013-10-01,4500000
RECONTRA-categorized,1999-06-02,40000
RECONTRA-uncategorized,1999-06-02,57500
RETRO-7B,2022-02-07,419430400000
